"Factor","Description"
"Strengths",""
"Strong unfair advantage: domain expert + direct customer access + EU context","My co‑founder and domain expert has over 40 years of experience in road construction and maintenance, including the last two decades as a site manager and occupational safety engineer at one of the largest road maintenance companies in Serbia – precisely the type of organization we are targeting as an early customer. His credibility and insider understanding of resource allocation, emergency interventions and coordination issues ensure that RoadMaintain is designed directly around real‑world workflows rather than theoretical assumptions. In addition, I have direct relationships with the CEO of the local public road utility in my city and with the local European House, which together provide a unique combination of access to first customers and a channel into EIT Urban Mobility and other EU innovation schemes – an unfair advantage that most potential competitors in the region do not possess.eit.europa+1"
"Clear B2G SaaS product and validated problem–solution fit","RoadMaintain is conceived from day one as a multitenant B2G SaaS platform with three integrated interfaces (citizen/driver web app, control center for utilities and municipalities, and field team portal), following a concrete workflow: incident report → work order generation and assignment → progress tracking → historical record of interventions.Business-Plan-Road-Incident-Reporting-Maintenance-System.pdf The business plan clearly articulates the current pain points (paper, emails, Viber groups, lost information, no analytics), which RoadMaintain addresses through a centralized map, structured work orders and automated reporting."
"Alignment with EU “green” and smart‑city priorities","By clustering work orders along the same route and assigning tasks to the nearest active team, RoadMaintain reduces unnecessary heavy‑vehicle mileage, directly lowering fuel consumption and CO₂ emissions.Business-Plan-Road-Incident-Reporting-Maintenance-System.pdfgminsights This makes the platform naturally aligned with EU climate targets, sustainable urban mobility agendas and innovation calls that fund solutions improving efficiency and decarbonisation of transport, such as EIT Urban Mobility programmes.eit.europa+1"
"Focused go‑to‑market in the Western Balkans","The business plan explicitly targets municipalities, cities and road maintenance enterprises in Serbia, Bosnia & Herzegovina and Montenegro, with defined SAM and SOM (12 paying municipal/utility accounts within the first two years), providing a focused and realistic starting point rather than attempting an unfocused global launch.Business-Plan-Road-Incident-Reporting-Maintenance-System.pdf This regional focus also allows us to leverage language, regulatory and relationship advantages over global players."
"Weaknesses",""
"Early stage and lack of live references","RoadMaintain is still pre‑deployment, with no live municipal customers yet. We currently lack published case studies, quantified savings or long‑term performance metrics, which creates friction when competing for new cities and public tenders against more established vendors."
"Dependence on a small core team","Critical industry knowledge is concentrated in our domain expert, while product development depends heavily on one core technical founder. Any change in availability or capacity of these key people would directly slow down product evolution and implementation speed."
"Complex B2G sales and procurement cycles","Selling to municipalities and public utilities implies long sales cycles (often 6–18+ months) and navigating public procurement procedures and political decision making, which can significantly delay contracts even when the problem–solution fit is strong."
"Limited local budgets and geographic concentration","Initial revenues will depend on the budgets of a relatively small number of municipalities and public utilities in the Western Balkans. Economic downturns, elections, or shifting policy priorities in these markets can have a disproportionate impact on our sales pipeline."
