"Faktor","Opis"
"Strengths (Snage)",""
"Jak “unfair advantage”: domain expert + direktan pristup kupcima + EU kontekst","Otac ima preko 40 godina iskustva u niskogradnji, od čega dve decenije kao šef gradilišta i inženjer zaštite na radu u jednoj od najvećih putarskih firmi u Srbiji – tačno u industriji i kompaniji kojoj želiš da prodaš softver. Njegov kredibilitet i insajdersko znanje o raspodeli ekipa, hitnim intervencijama i realnim problemima u komunikaciji čine da RoadMaintain bude dizajniran direktno po meri terena, a ne “iz kancelarije”. Uz to imaš lične veze sa direktorom lokalnog JP za puteve i sa Evropskom kućom u tvom gradu, što ti daje jedinstvenu kombinaciju: pristup prvim kupcima u Srbiji i kanal ka EIT Urban Mobility / EU grantovima – nešto što većina potencijalnih konkurenata u regionu nema.eit.europa+1"
"Jasno definisan B2G SaaS proizvod i validiran problem","RoadMaintain je od početka zamišljen kao B2G, multitenant SaaS sa tri jasno odvojena interfejsa (vozači, kontrolni centar, terenske ekipe), gde workflow prati stvarne procese: prijava → radni nalog → praćenje izvršenja → istorija radova. U biznis planu je problem vrlo jasno artikulisan (papir, mejlovi, Viber grupe, gubljenje informacija, bez analitike), tako da postoji vrlo čist problem–solution fit."
"Usklađenost sa EU “green” i smart‑city agendom","Grupisanje radnih naloga, kraće rute i bolje planiranje smanjuju nepotrebne kilometre teške mehanizacije, čime se direktno smanjuju troškovi goriva i CO₂ emisije. To RoadMaintain čini posebno pogodnim za programe koji ciljaju održivu urbanu mobilnost, dekarbonizaciju i smart cities (EIT Urban Mobility, Strategic Innovation Open Call i sl.).eiturbanmobility+1"
"Fokus na region Zapadnog Balkana sa jasnim ciljem rasta","Biznis plan eksplicitno cilja opštine/gradove i putarska preduzeća u Srbiji, BiH i Crnoj Gori, sa definisanim SAM i SOM (prvih 12 naloga u prve dve godine), što pokazuje fokusiran i realističan pristup umesto rasutog globalnog napada u ranoj fazi."
"Weaknesses (Slabosti)",""
"Rani stadijum i manjak referenci","RoadMaintain je i dalje bez produkcionog pilota, pa nemaš case studije, merenje ušteda ili javne reference. To otežava prodor u druge gradove i konkurisanje većih tendera dok ne izgradiš barem 1–2 jaka primjera."
"Oslonac na mali tim i ključne osobe","Kritično znanje o industriji je centralizovano kod tvog oca, a tehnički razvoj zavisi od tebe. Odlazak ili preopterećenost bilo koga od vas direktno usporava razvoj proizvoda i implementaciju kod klijenata."
"Kompleksnost B2G prodaje i javnih nabavki","Prodajni ciklusi ka opštinama i javnim preduzećima su dugi (6–18+ meseci), uz komplikovane procedure javnih nabavki i političke faktore, što može ozbiljno usporiti prihode i “go‑to‑market” tempo."
"Ograničen local budget i geografski fokus","Oslanjaš se na budžete relativno malog broja opština i JP u regionu; ekonomske i političke oscilacije u Srbiji/Zapadnom Balkanu direktno utiču na tvoj pipeline."
"Potencijal za tehnološki dug","Zbog pritiska da MVP bude spreman do kraja 2026, postoji rizik da arhitektura (multitenancy, sigurnost, integracije) bude “zakrpjena” za prve pilote, pa kasnije skupo za refaktorisanje kad počneš da širiš na druge gradove i države."
"Opportunities (Prilike)",""
"Rast globalnog tržišta održavanja puteva i digitalnih rešenja","Tržište održavanja puteva globalno raste, sa snažnim pritiskom na efikasnost i transparentnost, što povećava spremnost javnog sektora da plaća za SaaS rešenja koja ubrzavaju rad i daju bolju analitiku.gminsights+1 Naredni korak (2026–2027): U biznis planu i pitch materijalima eksplicitno povezati RoadMaintain sa trendovima “smart road maintenance” i koristiti ove brojke u argumentaciji ROI‑a prema JP i firmi tvog oca."
"Praznina lokalnih specijalizovanih rešenja u Zapadnom Balkanu","Globalni alati (FixMyStreet, generičke field‑service platforme) nisu duboko ukorenjeni u Zapadnom Balkanu, a većina preduzeća još radi preko telefona, papira i Excela.fixmystreet+2 Naredni korak (2027): Do kraja 2026 završiti MVP i 2027 ponuditi pilot prvo lokalnom JP u tvom gradu i firmi u kojoj radi tvoj otac, kao “design partnerima” sa povlašćenim uslovima, uz javno komunicirane rezultate (case study)."
"EIT Urban Mobility i srodni EU programi (grantovi i akceleratori)","EIT Urban Mobility i povezani pozivi (Strategic Innovation, RAPTOR, Financial Support to Startups) nude grantove, equity‑free podršku i pristup gradovima kao “living labs”, uz višegodišnje budžete za projekte iz mobilnosti, data‑driven rešenja i smanjenje emisija.eit.europa+2 Naredni korak (jun 2026): Pripremiti i poslati aplikaciju na odgovarajući EIT Urban Mobility poziv/akcelerator tokom juna 2026 (ili najbližeg cut‑off datuma), sa jasno definisanim planom pilota u tvom gradu i roadmap‑om do 2027."
"Regionalni RIS hubovi i jačanje inovacija u mobilnosti","EIT Urban Mobility RIS hubovi i slične inicijative eksplicitno žele da ojačaju urbanu mobilnost u Zapadnom Balkanu i da povežu gradove, industriju i startape.fablab+1 Naredni korak (2026): Formalizovati saradnju sa Evropskom kućom i lokalnim JP kao partnerskim institucijama za EIT prijave, koristiti ih kao “city partners” i “support letters” u aplikacijama."
"Nadogradnja na GIS, GPS i IoT za dodatne prihode","Roadmap već predviđa integraciju sa GPS‑om vozila i IoT telemetrijom, što omogućava kasnije module za optimizaciju flote, automatske izveštaje o zimskom održavanju i zelenim indikatorima.Business-Plan-Road-Incident-Reporting-Maintenance-System.pdf Naredni korak (2027+): Nakon prvih pilota fokusirati se na definisanje jednog konkretnog “Phase 2” modula (npr. integracija sa GPS‑om zimske službe) koji može da se aplicira na EIT / EU innovation call kao zaseban projekat."
"Partnerstva sa akademijom i civilnim sektorom","Fakulteti (saobraćaj, građevina, IT) i organizacije koje se bave održivom mobilnošću traže praktične projekte za studentske/istraživačke radove i EU projekte.rcc+1 Naredni korak (2026–2027): Povezati se sa jednim tehničkim fakultetom i jednom NVO iz oblasti mobilnosti kao akademskim i civilnim partnerima za buduće EIT / Horizon projekte, nudeći RoadMaintain kao “real life” platformu za testiranje."
"Threats (Pretnje)",""
"Ulazak globalnih igrača u region","Ako FixMyStreet, Planfix ili slične platforme odluče da kroz lokalne integratore uđu agresivnije u region, mogu da iskoriste svoj brend i reference iz razvijenih zemalja da dobiju veće tendere pre nego što se ti pozicioniraš.planfix+1"
"Inertnost javnog sektora i slaba adopcija","Studije o citizen‑driven road maintenance sistemima ističu izazove sa usvajanjem – institucije često nastavljaju da se oslanjaju na postojeće kanale (telefon, šalter), dok građani ne veruju da će prijave zaista biti rešene.scribd"
"Ograničeni budžeti i promenljivi prioriteti","U zemljama sa ograničenim budžetima za održavanje, novac često odlazi na “fizičke” radove i mehanizaciju, dok se IT sistemi vide kao sporedna stavka, posebno u predizbornim ili kriznim periodima.gminsights+1"
"Regulatorne i političke promene","Promene u javnim nabavkama, smena vlasti na lokalnom nivou ili promene u prioritetima trošenja EU fondova mogu pomeriti fokus sa digitalizacije puteva na druge oblasti (npr. javni prevoz, biciklističke staze, smart rasvjeta)."
"Rizici sa podacima i poverenjem","Potencijalne zloupotrebe (spam prijave, lažni incidenti), bezbednosni incidenti ili javne kritike mogu narušiti poverenje u sistem u ranoj fazi i otežati širenje na druge gradove."
"Konkurencija generičkih rešenja i integratora","Generičke field‑service i ticketing platforme (npr. Planfix) mogu uz lokalne integratore da ponude “dovoljno dobro” rešenje za deo problema, uz snažnu prodajnu mašinu i već postojeće odnose sa opštinama.planfix"
